"SiteID","Date","Benzene","BenzCen"
250,"4/26/2010",0.3514,"FALSE"
250,"5/2/2010",0.2715,"FALSE"
250,"5/8/2010",0.5687,"FALSE"
250,"5/26/2010",0.5782000000000001,"FALSE"
250,"6/1/2010",0.5143,"FALSE"
250,"6/7/2010",0.5016000000000001,"FALSE"
250,"6/13/2010",0.4409,"FALSE"
250,"6/19/2010",0.4505,"FALSE"
250,"6/25/2010",0.4377,"FALSE"
250,"7/1/2010",0.2843,"FALSE"
250,"7/7/2010",0.8338,"FALSE"
250,"7/13/2010",0.6837,"FALSE"
250,"7/19/2010",0.7316,"FALSE"
250,"7/25/2010",0.5111,"FALSE"
250,"7/31/2010",0.821,"FALSE"
250,"8/6/2010",0.5623,"FALSE"
250,"8/12/2010",0.9265,"FALSE"
250,"8/18/2010",0.361,"FALSE"
250,"8/24/2010",0.6006,"FALSE"
250,"8/30/2010",0.246,"FALSE"
250,"9/5/2010",1.329,"FALSE"
250,"9/11/2010",0.6773,"FALSE"
250,"9/17/2010",0.3961,"FALSE"
250,"9/23/2010",0.4313,"FALSE"
250,"10/5/2010",0.4568,"FALSE"
250,"10/11/2010",2.182,"FALSE"
250,"10/17/2010",0.361,"FALSE"
250,"10/29/2010",0.5718,"FALSE"
250,"11/4/2010",0.3259,"FALSE"
250,"11/10/2010",0.5048,"FALSE"
250,"11/16/2010",0.6357,"FALSE"
250,"11/22/2010",0.4856,"FALSE"
250,"11/28/2010",0.3898,"FALSE"
250,"12/4/2010",0.6485,"FALSE"
250,"12/10/2010",0.7284000000000001,"FALSE"
250,"12/16/2010",0.8785,"FALSE"
250,"12/22/2010",0.4856,"FALSE"
250,"12/28/2010",0.575,"FALSE"
250,"1/3/2011",0.9584,"FALSE"
250,"1/9/2011",1.69,"FALSE"
250,"1/15/2011",0.5367,"FALSE"
250,"1/21/2011",0.7444,"FALSE"
250,"1/27/2011",0.6421,"FALSE"
250,"2/2/2011",0.5431,"FALSE"
250,"2/8/2011",0.4728,"FALSE"
250,"2/14/2011",0.4505,"FALSE"
